page_name,page_age_days,revisions_count_mean,revisions_count_std,revisions_count_ar,revisions_count_max,revisions_count_min,revisions_count_range,revisions_count_avg_last_week,revisions_count_avg_all_period,contributors_count_mean,contributors_count_std,contributors_count_ar,contributors_count_max,contributors_count_min,contributors_count_range,contributors_count_avg_last_week,contributors_count_avg_all_period,num_of_views_mean,num_of_views_std,num_of_views_ar,num_of_views_max,num_of_views_min,num_of_views_range,num_of_views_avg_last_week,num_of_views_avg_all_period,incoming_links_mean,outcoming_links_mean,outcoming_links_std,outcoming_links_ar,outcoming_links_max,outcoming_links_min,outcoming_links_range,outcoming_links_avg_last_week,outcoming_links_avg_all_period,translated
Домниця,2528,5.766666666666667,0.4229525846816507,0.9188634751101247,6.0,5.0,1.0,6.0,5.766666666666667,5.766666666666667,0.4229525846816507,0.9188634751101247,6.0,5.0,1.0,6.0,5.766666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,11.0,0.0,0.0,11.0,11.0,0.0,11.0,11.0,1
Донбасенерго,663,8.0,0.0,0.0,8.0,8.0,0.0,8.0,8.0,4.0,0.0,0.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,73.0,0.0,0.0,73.0,73.0,0.0,73.0,73.0,1
Донченко,3875,9.8,0.9797958971132713,0.965482857984934,11.0,9.0,2.0,11.0,9.8,6.4,0.48989794855663565,0.9654828924114056,7.0,6.0,1.0,7.0,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,19.5,7.5,-0.7966101867848998,27.0,12.0,15.0,18.428571428571427,19.5,1
Дондуково,807,8.0,0.0,0.0,8.0,8.0,0.0,8.0,8.0,6.0,0.0,0.0,6.0,6.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,39.0,0.0,0.0,39.0,39.0,0.0,39.0,39.0,1
Донецький,3276,30.066666666666666,0.24944382578492935,0.9569486533583801,31.0,30.0,1.0,30.857142857142858,30.066666666666666,19.0,0.0,0.0,19.0,19.0,0.0,19.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.0,90.66666666666667,105.97588824298141,-0.21524842053619578,240.0,5.0,235.0,112.0,90.66666666666667,1
Донузлав,1321,35.166666666666664,0.8975274678557509,0.8936424359356538,40.0,35.0,5.0,36.42857142857143,35.166666666666664,12.033333333333333,0.17950549357115012,0.893642267773851,13.0,12.0,1.0,12.285714285714286,12.033333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241.0,200.5,187.5,-0.7966099227625423,388.0,13.0,375.0,227.28571428571428,200.5,1
Доркадіїні,2157,10.0,0.0,0.0,10.0,10.0,0.0,10.0,10.0,6.0,0.0,0.0,6.0,6.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,19.666666666666668,22.29100466306732,-0.16805543924185093,51.0,1.0,50.0,24.142857142857142,19.666666666666668,1
Вусач-коренеїд,2196,34.0,0.0,0.0,34.0,34.0,0.0,34.0,34.0,8.0,0.0,0.0,8.0,8.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,28.333333333333332,33.82635395992631,-0.1729672944914803,76.0,1.0,75.0,35.142857142857146,28.333333333333332,1
Dorcaschematini,893,14.0,0.0,0.0,14.0,14.0,0.0,14.0,14.0,3.0,0.0,0.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,30.0,23.0,-0.7966102640768741,53.0,7.0,46.0,33.285714285714285,30.0,1
Доріей,322,3.4,0.48989794855663565,0.9296932077304626,4.0,3.0,1.0,4.0,3.4,3.4,0.48989794855663565,0.9296932077304626,4.0,3.0,1.0,4.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,18.0,0.0,0.0,18.0,18.0,0.0,18.0,18.0,1
